"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Call Of Duty: Modern Warfare","22","Call Of Duty: Modern Warfare","614003640","174273000","161169","11495","248823","14213","4034","3.52","512026","8882141","0.17628410597166513","3.058009330188842","Call Of Duty: Modern Warfare"
"Sports","23","Sports","254918520","2661540","157173","159","5032","5900","61","95.78","113129","29080960","2.550305462251178","655.581956311008","Sports"
"Music","24","Music","1221777660","43716300","156258","1805","42044","28281","1011","27.95","889451","65193841","1.220758847386444","89.4776195606673","Music"
"Rocket League","25","Rocket League","1248181020","68870040","147604","3089","243948","28893","1594","18.12","1548964","21726126","1.3494669089781275","18.92793383015314","Rocket League"
"Apex Legends","26","Apex Legends","2421686460","170953740","136394","7047","235346","56057","3957","14.17","1126683","47489558","0.39543434381722214","16.667511807580226","Apex Legends"
"Quiplash 2 InterLASHional","27","Quiplash 2 InterLASHional","47824140","76680","136117","26","524","1107","1","623.68","24832","906063","19.43035993740219","708.9694835680751","Quiplash 2 InterLASHional"
"Family Feud","28","Family Feud","37051620","48600","134225","10","302","857","1","762.38","7490","371815","9.246913580246913","459.0308641975309","Family Feud"
"Escape From Tarkov","29","Escape From Tarkov","1041116340","40306920","131735","1596","30105","24099","933","25.83","312816","19885763","0.46565105942106216","29.601512097674544","Escape From Tarkov"
"Special Events","30","Special Events","256844520","2339160","127149","195","4026","5945","54","109.8","77797","10133383","1.9955112091520033","259.9236392551172","Special Events"
"Hearthstone","31","Hearthstone","1675425840","12715440","113301","964","16195","38783","294","131.76","180966","25508893","0.8539193295709783","120.36811781582077","Hearthstone"
"skribbl.io","32","skribbl.io","39008820","1175460","112684","117","10165","902","27","33.19","189248","827295","9.659945893522536","42.22831912612934","skribbl.io"
"Who Wants to Be a Millionaire?","33","Who Wants to Be a Millionaire?","53860620","55920","109631","10","405","1246","1","963.17","10959","565258","11.758583690987125","606.5","Who Wants to Be a Millionaire?"
"Talk Shows & Podcasts","34","Talk Shows & Podcasts","407374020","8462580","103551","398","13589","9429","195","48.14","174105","14807502","1.2344107825273143","104.98572775678339","Talk Shows & Podcasts"
"Immortals Fenyx Rising","35","Immortals Fenyx Rising","236558820","2293800","103359","696","5146","5475","53","103.13","40145","6888229","1.05009155113785","180.17862934867904","Immortals Fenyx Rising"
"Garena Free Fire","36","Garena Free Fire","605267700","13675860","99353","613","19275","14010","316","44.26","1558202","11370993","6.836288174930132","49.887873961856876","Garena Free Fire"
"Golf It!","37","Golf It!","36984420","260880","97994","35","1695","856","6","141.77","20023","760364","4.60510579576817","174.87672493100277","Golf It!"
"Slots","38","Slots","866313960","5295240","97966","222","3834","20053","122","163.6","322800","8400744","3.6576245835882792","95.1882520905568","Slots"
"Chess","39","Chess","567759060","3627960","96998","185","7687","13142","83","156.5","242003","37068212","4.002298812555816","613.0422386134356","Chess"
"Godfall","40","Godfall","167321220","4272180","96913","751","9140","3873","98","39.17","22727","5773560","0.31918598935438114","81.08590930157438","Godfall"
"Dead by Daylight","41","Dead by Daylight","1214309820","60578220","94557","2857","81428","28109","1402","20.05","552419","18509033","0.5471461525280868","18.33236400805438","Dead by Daylight"
"Pummel Party","42","Pummel Party","66455640","1126200","93228","123","5615","1538","26","59.01","32502","1232520","1.731592967501332","65.66435801811402","Pummel Party"
"Food & Drink","43","Food & Drink","122337600","2292240","92482","218","6857","2831","53","53.37","62846","4146136","1.6450109936132342","108.52622762014448","Food & Drink"
"Until Dawn","44","Until Dawn","39460080","312780","91431","25","2065","913","7","126.16","19567","564224","3.753500863226549","108.23403030884327","Until Dawn"
"Are You Smarter Than a 5th Grader?","45","Are You Smarter Than a 5th Grader?","9123720","1980","90906","4","16","211","0","4607.94","730","52852","22.12121212121212","1601.5757575757575","Are You Smarter Than a 5th Grader?"
"Witch It","46","Witch It","19226820","71880","88865","17","513","445","1","267.48","5463","293258","4.560100166944908","244.78964941569282","Witch It"
"Phasmophobia","47","Phasmophobia","656076720","56173680","88767","3558","137832","15186","1300","11.68","460061","11030016","0.49139846276761645","11.781335315756419","Phasmophobia"
"Cuphead","48","Cuphead","71174520","1670760","88216","105","6722","1647","38","42.6","52079","1117163","1.8702506643683114","40.11933491345256","Cuphead"
"Golf With Your Friends","49","Golf With Your Friends","54443580","892860","86370","86","5137","1260","20","60.98","47880","1153786","3.2175257039177474","77.5341710906525","Golf With Your Friends"
"Rocket Arena","50","Rocket Arena","6526560","485100","85676","77","1851","151","11","13.45","2209","413117","0.2732220160791589","51.096722325293754","Rocket Arena"
"Eternal Return: Black Survival","51","Eternal Return: Black Survival","445638420","7297320","85642","452","9185","10315","168","61.07","94454","9567162","0.7766193616286527","78.66308727039515","Eternal Return: Black Survival"
"Astro's Playroom","52","Astro's Playroom","72343260","1256940","85069","264","6960","1674","29","57.56","19171","1116042","0.9151272137094849","53.27423743376772","Astro's Playroom"
"Dungeons & Dragons","53","Dungeons & Dragons","176436540","5245380","84210","557","8287","4084","121","33.64","28663","2104371","0.3278656646420278","24.07113688617412","Dungeons & Dragons"
